Time,Planet0_x,Planet1_x,Planet2_x,Planet3_x,Planet0_y,Planet1_y,Planet2_y,Planet3_y
1.96,0.0695034,0.0402587,-1.37129,-1.16019,0.0742428,-0.201425,0.173057,0.380138
1.97,0.0603409,0.0614351,-1.37292,-1.15587,0.0662095,-0.198051,0.189426,0.380742
1.98,0.0511202,0.0825256,-1.37406,-1.15218,0.0570444,-0.191516,0.206091,0.380583
1.99,0.041997,0.103102,-1.37466,-1.1492,0.0466317,-0.1815,0.223046,0.379672
2,0.0331832,0.122582,-1.37469,-1.14703,0.0348555,-0.167682,0.240281,0.378026
2.01,0.0249668,0.140172,-1.37409,-1.14576,0.0216155,-0.149781,0.257783,0.375666
2.02,0.0177324,0.154816,-1.37281,-1.14553,0.00685936,-0.127652,0.275534,0.372626
2.03,0.0119724,0.16516,-1.3708,-1.14647,-0.00936007,-0.101437,0.293513,0.368952
2.04,0.0082623,0.169621,-1.36797,-1.14876,-0.0267985,-0.0718046,0.311685,0.36471
2.05,0.00716145,0.166663,-1.36424,-1.15258,-0.0449295,-0.0401992,0.330005,0.359998
2.06,0.00902021,0.155323,-1.3595,-1.15818,-0.0629244,-0.00889708,0.348409,0.354959
2.07,0.0137724,0.135787,-1.35365,-1.16581,-0.0797986,0.0193963,0.3668,0.3498
2.08,0.0208846,0.109522,-1.34655,-1.17578,-0.0947014,0.0423436,0.385042,0.344827
2.09,0.0295385,0.0787806,-1.33805,-1.18841,-0.107157,0.0586387,0.402933,0.340488
2.1,0.038906,0.045843,-1.32804,-1.20398,-0.117097,0.0680931,0.420183,0.337436
2.11,0.0483272,0.0125243,-1.31642,-1.2227,-0.124726,0.0712729,0.43638,0.336595
2.12,0.057353,-0.0199387,-1.30326,-1.24442,-0.130369,0.0690717,0.450976,0.339191
2.13,0.0657093,-0.0507916,-1.28887,-1.26847,-0.134366,0.0624275,0.463346,0.346629
2.14,0.0732443,-0.0796162,-1.27389,-1.29335,-0.137025,0.0521913,0.472956,0.360105
